race,age,engnat,gender,hand,source,country,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,is_code_valid
3,20,1,2,1,2,US,4,2,3,3,2,2,3,3,3,4,4,3,5,3,3,3,3,3,4,3,2,4,2,3,2,4,2,3,3,3,4,3,3,2,3,3,4,2,4,3,4,1,4,2,3,2,4,3,4,3,True
13,67,1,2,1,3,US,3,2,5,1,5,1,5,3,2,2,3,5,5,3,3,3,2,3,3,3,5,5,1,4,1,3,5,5,4,4,4,1,5,2,5,4,5,1,4,5,5,3,3,3,3,3,5,2,4,3,True
13,34,1,2,1,1,BR,3,3,4,4,3,3,4,4,1,4,4,4,4,2,2,2,1,1,2,3,2,2,1,4,3,5,2,4,2,4,4,2,5,2,2,3,3,3,2,4,3,5,4,4,4,4,4,2,4,4,True
3,23,1,1,1,5,US,3,3,4,3,4,2,4,3,4,3,4,4,4,2,3,2,4,4,3,4,2,4,1,4,3,4,2,4,5,4,3,2,4,3,1,2,2,3,2,3,5,1,5,1,5,1,5,5,4,5,True
4,29,2,1,1,2,CA,1,5,3,4,4,2,1,4,5,4,2,2,3,4,1,2,2,1,4,2,2,5,3,3,2,1,3,3,3,4,4,4,3,1,5,5,4,1,2,4,4,1,4,1,3,1,5,2,5,5,True
3,25,1,2,1,1,NZ,4,1,5,1,5,1,5,1,5,2,3,3,3,2,3,3,3,3,3,2,1,5,3,5,1,4,1,5,5,4,3,4,4,3,3,3,3,3,4,4,4,1,4,1,4,1,4,4,4,4,True
3,22,1,2,1,1,ES,4,2,4,2,5,2,4,2,4,2,4,4,5,2,4,4,2,2,3,3,1,5,2,5,1,5,1,3,5,3,3,5,4,2,1,2,3,2,4,3,3,1,4,1,3,2,4,3,5,3,True
3,43,1,2,1,2,NZ,3,2,2,4,4,2,1,4,1,3,4,2,5,1,4,3,4,3,4,5,1,5,1,4,1,5,1,5,5,4,2,2,3,2,3,2,3,3,3,1,4,3,5,1,4,1,3,4,5,4,True
3,51,1,1,1,2,US,3,3,4,4,4,4,3,4,3,4,2,4,3,2,2,3,2,2,2,2,2,4,1,3,2,4,2,3,4,4,3,5,4,4,2,4,4,2,4,5,4,2,4,2,4,2,3,4,4,4,True
6,21,1,2,2,5,US,2,2,3,4,3,3,1,3,4,4,5,3,4,2,3,4,5,4,5,4,4,2,3,2,4,2,4,3,3,3,4,2,4,4,2,5,5,4,4,3,3,2,5,2,4,2,3,3,5,5,True
3,19,2,2,1,1,IT,1,5,1,5,3,3,2,5,5,3,4,2,4,4,3,3,4,4,3,4,4,4,3,3,2,5,1,3,3,2,1,2,2,3,4,2,3,2,1,3,3,4,2,2,2,3,3,3,4,2,True
10,18,2,2,2,1,PH,1,1,1,5,1,4,1,5,1,5,5,1,1,1,4,5,5,5,5,5,1,1,2,5,1,4,2,4,5,5,2,4,5,2,4,4,5,2,4,5,4,4,5,1,4,1,4,2,5,4,True
3,20,1,1,1,1,GB,3,2,2,4,4,4,1,5,2,5,4,3,4,2,3,3,4,4,4,3,4,5,4,3,4,2,1,4,3,3,3,2,4,3,1,2,4,4,4,4,5,3,4,3,5,2,5,5,4,3,True
3,44,1,2,1,5,US,4,1,5,1,5,1,4,2,5,2,2,4,2,5,1,1,1,1,1,1,1,4,1,4,1,3,1,3,3,5,3,2,3,2,3,2,3,1,3,3,4,3,3,3,4,2,4,3,4,4,True
6,31,1,1,1,4,US,3,4,4,5,3,4,2,5,1,5,3,3,5,2,4,3,4,4,3,5,1,3,2,5,3,5,4,4,5,4,4,4,3,3,2,3,3,3,4,4,3,2,4,2,3,4,3,3,4,3,True
9,25,2,1,1,1,US,3,2,5,3,3,2,4,3,4,4,4,3,4,3,4,4,2,1,4,3,4,4,3,4,4,2,2,4,3,3,3,2,5,2,3,2,4,3,2,3,1,1,3,2,3,1,5,1,5,4,True
13,55,1,2,3,1,US,3,3,5,4,5,2,5,5,5,1,3,4,4,5,4,3,2,1,3,1,2,3,1,5,1,5,4,5,3,4,2,1,3,1,4,1,5,1,1,2,4,4,5,3,4,1,3,3,5,3,True
3,69,1,2,1,1,US,4,3,4,2,5,1,4,2,5,1,1,4,1,5,2,1,2,1,1,1,1,5,1,4,1,3,1,5,4,4,5,3,5,1,4,1,5,1,5,5,5,1,5,1,5,1,5,5,4,5,True
3,18,1,2,1,1,US,1,5,2,5,1,1,1,5,1,5,5,3,5,1,5,5,3,2,2,4,1,5,1,5,1,5,1,5,5,4,5,3,3,4,4,3,5,2,4,3,4,4,5,4,4,1,4,4,5,5,True
3,20,2,1,3,1,AR,4,2,2,4,4,4,2,5,2,4,5,1,5,3,5,5,5,5,5,3,2,4,1,2,2,5,2,5,4,4,2,5,5,1,4,1,4,3,4,5,4,2,4,2,3,2,4,5,4,4,True
3,23,1,2,1,1,US,5,1,5,1,5,1,5,1,4,2,4,4,4,2,2,3,3,2,2,4,1,5,1,5,1,5,1,4,5,5,1,5,4,4,1,5,4,2,2,2,3,3,5,1,3,1,4,2,5,5,True
3,22,1,2,1,1,US,1,5,2,5,1,4,1,5,1,5,2,5,5,5,1,1,1,1,3,1,1,4,1,5,1,5,1,5,5,5,5,4,5,3,1,5,4,1,3,5,5,1,5,1,3,1,5,5,5,5,True
12,26,2,1,1,1,US,3,2,2,3,2,3,4,3,2,2,1,3,5,4,2,2,2,1,3,1,2,3,1,4,2,5,2,5,4,4,4,3,4,1,1,2,5,1,4,5,5,1,5,2,5,1,5,3,5,4,True
4,44,2,1,1,1,US,2,4,3,4,2,4,2,4,2,4,3,4,3,3,3,2,3,2,2,3,2,3,2,4,4,3,4,3,3,3,4,4,3,2,4,2,4,4,4,4,3,3,3,3,4,3,4,2,4,4,True
3,50,1,2,1,1,US,3,3,4,3,4,2,3,4,3,3,2,4,2,3,3,2,3,3,2,3,2,4,2,4,2,4,2,4,4,4,4,2,4,2,2,3,3,2,4,5,3,2,4,2,4,1,4,2,4,4,True
3,48,1,1,1,1,NZ,1,2,3,4,1,3,2,4,2,4,2,4,3,3,2,1,3,2,2,2,4,3,2,3,3,4,3,3,3,4,3,1,4,2,4,4,4,2,2,3,3,3,1,3,3,4,4,2,3,1,True
3,29,1,2,1,2,US,3,1,4,2,5,1,4,2,4,2,3,2,5,3,2,3,3,2,2,2,1,5,2,4,2,4,1,4,4,4,4,4,4,1,4,2,5,2,4,4,4,2,4,2,4,1,4,3,4,4,True
3,58,1,2,1,2,US,4,1,4,3,5,1,3,3,4,2,2,3,3,3,3,3,3,3,2,3,1,5,1,5,1,5,1,5,4,4,4,2,4,2,3,3,4,2,3,3,5,2,5,3,4,1,3,4,3,4,True
11,21,2,2,1,1,PH,3,2,4,5,3,3,2,5,2,4,4,3,5,3,4,2,5,5,5,3,1,5,1,3,2,5,1,3,4,4,4,1,5,2,3,1,5,4,5,3,2,2,4,1,4,1,4,3,5,3,True
3,20,1,2,1,5,US,3,2,5,2,4,1,5,4,1,5,3,3,5,2,5,2,5,4,3,2,1,5,1,5,2,5,1,5,5,5,3,1,5,1,4,1,4,1,2,3,5,1,5,1,4,1,5,3,4,3,True
3,29,1,2,1,1,US,2,2,4,2,5,1,5,3,4,2,1,4,3,2,3,2,3,4,2,4,1,5,1,5,1,5,1,4,4,4,3,5,4,4,1,4,3,5,3,3,5,1,5,1,3,1,5,2,5,5,True
3,20,1,2,1,1,US,2,4,3,3,3,3,4,4,5,3,4,4,4,2,3,4,3,4,4,3,2,4,2,5,2,5,2,2,4,4,3,4,4,5,1,5,2,3,4,3,5,2,4,1,4,2,4,4,4,4,True
1,19,1,2,2,2,CA,4,1,5,2,5,2,5,3,3,1,2,2,2,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,1,5,1,5,2,5,3,5,5,3,2,5,1,5,1,4,2,4,5,True
11,28,2,1,1,1,TH,3,5,1,5,2,3,2,5,3,5,5,3,5,1,3,3,4,4,4,5,1,5,4,5,1,4,2,5,5,4,4,4,5,5,3,3,5,3,2,4,4,2,5,1,5,1,5,4,5,5,True
3,18,1,2,1,1,US,1,4,2,5,2,1,1,5,2,5,4,1,4,1,5,4,4,4,5,4,1,5,1,5,1,5,1,4,5,2,3,3,4,4,2,4,3,3,5,4,4,1,4,1,2,2,4,4,5,3,True
5,18,1,2,1,1,US,1,4,1,4,2,4,1,4,3,5,5,2,5,4,2,5,4,4,5,3,4,3,2,4,3,5,3,3,5,3,3,2,5,4,2,3,1,3,1,3,1,3,4,3,3,2,4,2,5,3,True
11,22,2,1,2,1,MY,3,1,4,1,5,1,3,1,5,2,4,3,4,2,4,4,5,4,5,4,3,4,4,4,4,3,4,2,3,4,5,4,4,4,3,4,2,3,3,4,5,2,5,1,5,1,4,5,5,5,True
3,18,1,2,1,1,AU,5,2,5,1,5,1,5,1,5,1,2,4,2,3,2,2,3,2,4,2,1,4,3,4,2,2,2,4,4,5,2,4,5,5,1,4,4,4,3,3,5,4,4,3,5,2,5,5,3,4,True
3,45,1,2,1,1,AU,1,3,3,3,4,1,1,3,3,3,4,2,5,3,3,5,4,4,4,4,1,3,1,4,3,4,3,4,4,3,5,1,5,1,3,1,3,1,4,5,5,1,4,1,5,1,5,5,5,5,True
4,23,2,1,1,1,IN,1,3,3,3,3,3,2,2,3,4,2,5,4,3,3,2,3,2,2,3,2,3,1,2,3,5,2,3,4,3,4,3,3,4,4,2,3,3,4,3,2,3,4,3,4,1,5,3,3,5,True
3,34,1,2,1,1,CA,3,1,4,3,4,2,4,2,2,4,2,1,5,1,4,4,4,5,5,5,1,5,2,5,1,5,1,4,5,5,3,2,4,1,3,2,2,1,2,3,3,2,5,2,4,2,4,2,4,5,True
12,30,2,1,1,1,MX,3,4,4,4,4,2,2,5,2,3,2,4,2,5,2,2,2,2,2,2,5,5,2,4,2,3,2,3,3,3,4,3,3,4,3,2,4,3,3,4,4,2,4,2,4,2,4,2,4,4,True
3,19,1,2,2,2,NZ,1,4,4,4,3,4,2,4,1,5,3,4,4,4,4,3,3,2,2,2,1,5,3,5,1,5,2,4,5,3,2,4,3,3,1,5,3,3,2,2,4,3,3,3,3,4,3,3,4,3,True
13,22,1,1,1,1,PH,2,3,5,3,4,3,3,3,2,3,4,4,4,3,4,4,4,3,4,3,5,4,3,4,2,4,2,3,4,3,4,4,3,3,3,3,2,3,3,3,2,4,3,2,3,4,4,2,3,4,True
13,18,1,1,3,1,US,3,4,3,4,4,2,3,5,3,4,2,4,2,3,3,3,3,2,3,2,3,4,2,4,3,2,2,4,3,4,4,4,4,3,3,3,4,2,2,4,4,2,4,3,4,2,5,4,4,4,True
3,44,2,1,1,5,DE,3,3,3,2,3,1,2,2,5,3,1,5,1,5,1,1,1,1,1,1,4,1,1,2,5,3,5,3,3,3,3,2,4,1,1,1,4,2,3,5,4,1,4,1,5,2,3,5,5,4,True
1,30,1,1,2,1,AU,4,1,4,3,5,2,4,4,4,3,3,3,3,2,1,2,3,3,2,3,2,5,3,5,1,4,1,5,5,4,2,4,3,5,1,5,2,5,2,3,3,2,5,1,5,1,3,3,4,4,True
13,26,1,1,1,2,US,3,2,4,2,5,2,4,5,3,4,2,4,4,1,4,2,1,1,4,1,3,4,1,2,5,4,4,4,4,4,4,5,5,1,2,5,5,4,5,4,3,4,5,4,3,2,4,3,5,4,True
3,30,1,2,1,4,US,2,5,1,5,4,5,1,5,1,2,5,2,5,1,3,4,3,3,3,5,1,4,2,4,2,5,3,3,4,3,2,2,3,3,2,2,5,4,1,3,5,3,5,3,4,1,3,5,5,4,True
4,21,2,2,1,1,IN,1,4,1,2,4,3,3,4,2,5,4,3,4,3,3,2,3,3,2,3,5,5,1,4,3,5,2,5,5,5,2,1,5,1,4,1,4,2,2,3,2,2,3,3,3,2,4,1,4,4,True
3,21,1,1,1,1,US,1,1,4,5,3,4,1,2,1,4,4,3,5,1,1,3,1,1,2,2,1,2,2,2,2,3,2,2,2,3,3,5,4,4,1,5,3,2,3,4,5,1,5,1,4,1,4,4,4,4,True
11,23,2,2,1,2,PH,1,5,1,5,1,5,1,1,1,5,5,1,5,1,5,5,4,4,4,5,4,2,1,2,2,2,4,1,2,1,1,1,5,1,1,1,5,1,4,4,4,2,4,1,3,1,4,4,5,2,True
4,34,2,1,2,1,LK,5,3,2,5,2,4,1,4,4,5,4,2,5,1,5,5,5,5,5,5,1,4,4,5,4,5,4,4,4,3,2,5,4,5,2,5,2,2,2,4,3,4,5,2,5,1,5,2,5,5,True
3,35,2,1,1,2,US,1,4,3,4,2,2,2,2,3,5,4,2,4,4,4,2,2,1,2,1,3,3,1,3,3,4,4,3,2,3,2,4,4,3,1,5,2,3,2,2,4,1,4,1,4,1,4,3,4,4,True
3,27,1,2,1,5,US,2,4,2,5,2,2,3,5,1,5,5,1,5,2,2,2,2,2,2,2,3,3,1,4,4,3,4,3,3,4,4,2,4,2,3,1,4,2,4,3,3,2,3,4,3,2,4,4,4,3,True
3,20,1,1,1,1,US,2,5,3,4,3,5,2,4,2,5,2,4,3,1,2,3,2,1,2,4,2,4,1,3,2,5,2,2,4,3,2,2,4,3,2,4,4,1,2,5,2,4,3,3,3,4,4,1,5,3,True
11,22,2,1,1,1,ID,4,2,4,4,4,4,3,2,5,2,1,4,4,4,2,3,2,2,2,2,2,4,3,4,2,4,2,4,4,4,4,4,4,2,3,4,4,2,4,4,5,2,4,3,5,1,4,2,3,4,True
11,20,2,2,3,1,PH,2,3,3,3,4,3,1,2,1,5,1,4,2,3,1,2,2,2,1,3,4,4,1,4,2,4,1,4,4,5,3,2,4,1,2,3,3,1,4,4,3,1,5,1,3,1,4,2,4,4,True
3,44,2,1,1,1,GR,2,4,2,4,2,3,1,4,2,5,4,2,4,2,3,4,2,3,4,4,5,3,1,4,2,3,2,3,4,3,4,4,5,2,2,2,3,3,2,4,4,3,4,2,3,3,4,4,4,4,True
3,21,1,1,1,1,US,4,4,3,4,4,4,3,3,4,4,4,3,5,2,4,3,4,4,4,4,3,5,4,4,2,4,3,3,4,4,4,4,5,3,3,2,4,2,4,4,3,2,5,1,4,1,4,4,4,5,True
3,21,1,2,1,1,AU,2,4,4,4,3,2,2,4,2,4,3,5,4,4,1,3,2,2,3,2,1,5,1,5,1,4,1,4,4,5,3,5,4,3,1,4,3,3,4,4,2,1,5,1,5,1,4,2,5,5,True
1,18,1,2,1,1,US,1,3,2,3,4,2,3,5,1,4,5,2,5,1,4,3,4,4,4,1,2,5,2,5,2,5,1,5,3,3,1,3,3,3,2,4,3,3,1,3,4,3,3,2,3,4,3,4,5,3,True
3,50,1,1,1,2,AU,4,1,4,3,4,1,2,3,4,2,4,2,2,4,5,4,3,4,4,2,2,3,2,3,4,4,4,2,2,4,4,5,3,3,2,5,2,3,2,4,5,1,5,2,5,1,5,4,3,5,True
11,25,2,1,1,2,MY,4,1,5,2,5,1,5,2,4,1,3,3,3,4,4,3,4,4,3,2,2,5,3,5,2,4,2,5,4,4,4,3,3,2,5,3,3,3,3,4,4,1,4,1,4,2,5,3,5,4,True
3,31,2,2,1,2,US,3,2,3,3,2,2,4,5,1,5,4,3,5,3,1,1,1,1,1,2,3,4,2,5,1,2,1,4,5,5,4,3,5,2,2,1,5,3,3,4,3,2,4,2,4,2,3,1,5,3,True
11,22,2,1,1,1,US,5,2,4,2,4,2,4,4,4,2,3,3,4,2,3,3,3,3,4,2,3,5,4,4,3,4,2,4,4,4,3,2,4,2,4,2,4,3,3,2,4,2,4,2,4,2,4,5,4,4,True
13,22,2,2,1,1,IN,1,2,3,3,4,1,2,3,4,4,5,2,5,5,5,5,5,5,5,5,5,5,1,5,1,5,2,5,5,4,3,1,4,5,2,1,3,4,2,3,1,4,4,4,5,2,4,1,5,4,True
5,39,2,1,2,2,AE,1,4,3,3,2,3,2,4,2,2,3,3,4,4,3,3,2,1,2,1,1,4,1,5,2,4,2,4,4,3,5,2,3,1,2,1,2,1,4,4,4,2,5,1,4,1,4,3,2,4,True
4,24,2,2,1,1,IN,2,3,2,4,1,4,1,5,1,5,4,2,4,5,4,4,4,5,4,5,4,2,1,5,2,5,5,2,4,3,4,4,5,3,4,3,3,1,4,3,4,2,3,3,4,2,5,2,3,3,True
11,49,1,2,1,1,HK,1,5,5,5,2,2,1,4,1,4,1,4,3,4,1,1,1,1,1,1,4,4,1,4,2,5,1,4,2,4,4,1,5,1,5,1,1,1,5,5,4,4,4,1,4,1,4,1,4,5,True
4,28,1,2,2,1,IN,3,4,4,4,5,5,4,4,5,2,5,2,5,3,5,5,5,5,5,5,5,5,1,5,1,5,1,5,5,5,4,4,5,1,5,1,4,1,5,3,4,1,3,4,5,4,5,2,5,4,True
4,27,2,2,1,1,IN,1,5,5,5,1,5,5,5,1,4,1,3,5,1,2,5,5,1,5,1,5,3,3,1,1,5,5,5,5,5,5,1,5,1,5,1,5,1,3,5,5,3,5,1,5,1,5,5,1,5,True
3,35,2,2,2,1,DK,3,3,4,4,2,4,4,4,2,4,4,4,2,4,5,2,2,3,2,2,1,4,1,4,2,5,1,5,5,4,2,4,4,3,2,2,3,4,1,2,4,2,4,1,4,2,4,4,5,4,True
3,22,1,1,1,1,US,1,5,2,5,1,4,1,5,1,5,5,4,5,1,2,2,2,2,4,5,2,4,2,5,1,5,2,4,4,2,2,3,3,5,1,5,2,4,2,2,4,1,4,1,3,2,4,3,5,4,True
3,36,1,2,1,1,US,3,3,1,3,5,3,3,3,2,3,3,1,5,1,1,3,5,3,2,3,1,1,1,5,1,3,1,5,5,5,4,4,4,3,2,5,4,3,1,5,5,1,5,1,5,1,5,1,5,5,True
3,39,1,1,2,1,GB,5,1,5,2,5,2,5,2,4,2,4,4,4,4,3,4,4,4,4,2,4,5,3,4,2,3,3,4,4,5,4,4,4,3,3,4,3,2,3,4,4,2,5,2,5,1,5,4,4,5,True
11,18,2,2,1,1,PH,2,3,3,3,3,3,2,3,2,4,4,3,4,2,4,4,4,4,4,4,2,3,3,4,2,3,3,3,4,3,3,2,4,3,3,3,5,2,4,3,2,3,3,2,3,2,4,3,5,3,True
11,27,2,1,1,5,VN,3,3,4,4,3,3,3,3,3,5,1,5,2,2,3,1,4,4,2,1,1,3,1,5,1,2,2,3,4,5,4,2,4,3,1,2,4,1,5,4,3,1,4,1,4,1,5,2,4,4,True
4,31,1,1,1,1,IN,4,3,5,2,5,2,5,2,5,1,1,4,5,3,3,2,4,3,4,2,4,4,3,4,2,4,2,4,4,5,2,4,1,3,2,1,2,3,2,3,5,3,4,2,4,2,4,5,4,4,True
3,40,1,1,1,1,AU,3,3,3,3,3,3,4,4,3,3,4,3,4,3,3,4,2,3,2,3,2,1,1,4,4,4,1,4,4,5,3,3,4,3,4,3,4,2,4,4,4,2,3,2,3,2,4,3,4,3,True
3,20,1,2,1,1,US,1,4,2,4,1,4,1,4,2,5,4,2,5,1,4,4,2,1,3,5,2,2,1,4,1,4,1,4,4,3,3,5,4,5,3,5,3,2,2,3,3,2,5,1,2,1,4,2,5,3,True
4,18,2,1,1,1,IN,3,3,2,3,4,4,3,3,4,2,2,2,4,3,4,4,4,3,1,2,3,3,2,3,3,4,3,4,4,4,2,3,2,3,3,4,2,3,1,1,1,2,3,4,5,4,2,2,2,5,True
4,44,2,2,1,1,IN,2,4,3,4,3,4,3,4,3,4,4,5,4,3,4,4,4,2,4,3,3,4,3,4,4,4,3,4,4,4,2,5,2,2,2,4,4,3,2,3,5,1,4,4,3,4,4,2,4,2,True
6,18,1,1,1,2,US,3,2,3,4,1,3,1,4,3,5,2,4,1,3,1,5,4,3,4,3,2,4,4,4,2,3,2,3,4,2,2,4,2,4,1,4,1,4,2,2,2,1,5,1,4,1,5,1,5,4,True
3,37,1,1,2,1,AU,1,3,2,4,3,3,2,4,2,5,5,2,5,2,4,5,4,4,4,4,1,4,3,4,2,4,2,4,4,2,5,3,4,3,3,2,5,2,3,5,5,4,2,2,4,4,3,5,5,4,True
11,32,2,2,1,5,VN,3,3,4,4,4,3,3,4,4,3,3,2,3,2,2,2,1,2,3,2,2,4,1,4,3,2,3,2,4,4,4,3,4,2,4,2,4,1,4,4,3,3,4,3,3,2,4,3,3,3,True
1,20,1,2,1,5,US,1,5,3,5,4,3,2,4,2,5,4,4,4,3,4,4,2,3,4,2,1,4,2,5,2,4,2,4,4,4,3,1,4,2,2,2,3,3,3,4,4,2,5,3,3,1,3,2,4,4,True
3,34,1,2,1,1,CA,4,1,5,1,5,2,5,2,4,1,3,5,5,4,5,4,1,3,3,2,1,5,1,5,1,5,1,5,5,5,2,5,5,4,1,5,3,3,2,3,5,1,5,1,3,1,5,5,5,5,True
3,47,1,2,1,2,CA,3,3,4,3,5,2,3,3,3,3,2,4,2,4,1,2,2,1,1,1,1,5,1,5,1,3,1,5,4,5,4,4,5,2,4,4,4,1,3,4,4,1,4,2,4,1,4,3,4,4,True
3,71,2,1,1,1,CN,1,4,2,4,2,2,1,2,2,3,4,2,4,2,4,4,2,2,4,2,1,5,2,4,2,4,2,4,4,4,3,3,4,1,3,4,4,3,4,3,2,4,3,2,4,2,4,2,4,4,True
13,22,2,2,1,2,GB,4,2,4,3,5,3,4,2,4,2,2,5,4,5,5,2,3,2,2,1,1,5,1,5,2,5,1,5,4,4,2,3,5,3,2,3,4,4,2,2,1,3,2,3,2,4,2,3,1,2,True
13,41,1,1,1,1,US,1,3,3,4,3,3,1,5,5,3,3,3,3,3,2,3,1,1,3,1,1,3,3,3,2,4,3,4,3,3,5,1,5,3,4,1,5,1,4,5,4,1,3,1,4,1,4,3,5,4,True
3,21,2,1,1,1,SE,2,5,2,4,1,5,1,5,1,5,2,4,2,4,5,3,2,3,3,2,5,1,3,1,5,2,5,2,1,3,3,1,5,3,4,1,5,3,4,5,4,3,5,3,5,1,3,3,4,5,True
3,45,1,2,1,1,CA,3,3,5,4,4,2,4,4,3,2,4,3,4,3,2,3,3,3,2,2,2,4,1,4,2,4,2,4,4,5,5,3,2,2,3,3,3,2,4,3,5,4,4,3,5,2,4,4,4,5,True
13,40,1,2,1,2,US,4,5,5,2,5,1,5,5,1,3,3,3,3,3,2,2,1,1,1,2,4,5,1,5,1,5,1,5,5,5,3,1,5,1,4,1,4,1,3,4,3,4,4,2,5,2,4,1,3,5,True
11,29,2,2,1,5,PH,3,2,4,3,4,4,3,3,3,4,2,4,4,4,2,2,4,2,2,1,1,4,2,4,2,4,2,4,3,3,4,4,4,2,5,3,5,2,3,4,3,3,5,2,3,2,3,3,4,3,True
3,40,1,1,1,1,US,3,5,5,1,5,1,5,5,5,1,2,5,1,5,1,1,1,1,1,1,5,4,1,1,5,1,5,2,1,5,5,1,5,1,5,1,5,1,4,5,4,1,1,1,5,1,5,5,5,5,True
3,22,1,2,1,2,US,3,2,2,3,3,2,1,4,3,5,3,4,5,2,1,3,4,3,5,3,1,4,1,5,2,5,3,4,5,4,4,5,4,5,1,5,4,3,2,3,3,2,5,1,4,1,4,3,4,5,True
13,24,2,2,1,2,IN,4,3,4,2,4,3,2,2,4,4,1,1,4,4,4,5,5,5,1,2,4,3,3,4,4,2,2,2,4,2,3,5,2,5,3,5,1,4,2,3,3,4,2,3,2,5,4,3,4,2,True
11,19,2,1,2,5,PH,4,2,5,2,5,2,4,2,4,2,4,2,5,2,4,4,4,4,5,2,1,5,3,5,1,4,2,4,5,4,4,4,5,2,4,4,4,2,4,4,5,1,5,1,5,1,5,5,4,5,True
1,24,2,1,1,1,IN,1,1,5,3,4,4,2,1,3,4,5,2,5,4,1,4,4,4,1,4,5,5,1,5,2,2,2,4,4,2,5,3,5,1,5,1,3,5,5,5,3,4,3,1,4,1,4,1,5,5,True
11,33,1,1,2,5,US,1,5,3,4,2,4,4,5,1,5,1,5,2,5,1,1,1,1,1,1,3,4,1,3,2,4,3,4,3,3,4,5,5,3,1,3,2,3,1,5,3,1,3,1,5,2,5,3,4,4,True
3,21,1,2,1,5,US,4,2,4,3,4,1,3,4,4,3,3,3,4,2,1,1,4,3,3,2,1,5,1,5,1,4,1,5,5,5,4,2,4,2,2,3,5,2,4,4,3,3,4,2,5,1,2,2,5,4,True
3,55,1,1,1,1,US,3,3,4,3,4,2,3,3,4,3,5,2,5,1,4,4,4,4,4,4,2,4,1,4,2,4,2,3,4,4,4,2,5,2,2,1,5,2,4,5,4,1,5,1,5,2,4,5,5,3,True
3,25,1,1,3,1,GB,1,3,5,4,2,3,2,4,3,3,1,5,1,4,1,1,2,1,1,1,2,4,3,3,2,5,2,4,4,3,5,1,5,1,3,1,3,1,3,4,4,1,5,1,4,1,4,4,5,5,True
3,22,1,1,1,2,IE,4,2,5,2,4,2,5,4,4,4,2,4,4,3,4,3,3,1,5,3,1,5,1,5,4,4,1,4,4,4,2,1,3,1,3,4,4,2,4,3,4,4,3,4,4,3,4,4,5,4,True
3,24,1,2,1,5,US,2,5,2,4,2,4,2,5,2,5,4,2,4,2,4,4,3,3,4,4,2,4,2,4,2,4,2,4,4,3,2,3,5,2,3,2,4,2,4,4,3,2,4,2,4,1,4,4,4,4,True
4,34,2,1,1,1,IN,2,4,3,3,2,3,1,4,1,5,5,2,5,2,4,5,5,5,4,3,3,3,5,3,2,3,3,3,4,2,2,1,3,1,3,1,3,3,3,3,4,2,2,2,5,3,4,3,2,4,True
3,20,1,1,1,2,US,2,3,4,3,3,3,3,3,4,4,3,3,4,2,1,2,4,3,4,3,2,4,4,4,3,4,2,4,4,4,4,4,5,2,3,3,4,2,4,4,4,2,5,2,4,1,4,4,5,4,True
3,45,1,1,1,5,US,4,2,5,2,4,2,4,3,4,2,1,4,2,5,1,1,1,1,2,1,1,4,3,3,3,2,3,3,3,4,4,3,4,2,3,3,4,1,2,3,4,2,1,3,4,3,4,3,4,4,True
3,25,1,1,1,1,US,3,2,5,1,4,4,4,3,4,2,2,3,4,4,2,2,2,1,2,1,1,5,1,4,2,4,2,3,3,4,4,2,5,2,4,2,3,2,4,3,4,1,3,3,4,3,4,2,3,3,True
1,23,2,1,1,1,MU,2,5,2,4,4,4,2,5,2,5,2,4,4,5,4,1,3,3,4,4,3,2,4,4,3,3,3,4,3,3,2,3,4,2,4,4,3,4,4,4,2,4,4,3,3,3,4,2,4,3,True
11,22,2,1,1,2,VN,4,5,1,4,2,2,2,1,3,5,4,4,5,1,4,4,4,4,4,5,4,4,4,4,3,4,3,3,4,2,1,5,2,5,1,5,2,5,1,1,4,2,5,2,4,1,4,3,4,5,True
4,19,2,2,1,2,IN,3,4,5,5,5,4,5,2,5,5,5,5,4,3,5,5,5,5,4,1,1,5,1,5,2,5,1,5,5,5,5,5,5,4,3,5,5,3,5,4,1,2,5,1,4,1,5,1,3,3,True
13,50,2,1,1,1,US,2,4,3,3,3,3,3,4,2,3,5,1,5,3,3,3,3,2,4,3,2,4,2,4,2,4,2,3,4,3,4,1,4,2,4,2,4,3,4,3,3,2,4,1,4,2,3,3,4,4,True
13,26,2,1,1,1,LK,5,2,3,3,4,4,2,4,3,3,3,3,3,3,2,4,4,3,3,3,5,5,3,4,3,4,2,4,4,3,2,5,2,4,3,3,4,3,4,3,4,3,5,3,4,1,4,4,4,5,True
3,26,2,1,1,3,DK,3,2,5,3,4,2,2,3,3,3,1,5,2,5,1,2,1,1,1,1,4,4,1,3,2,4,2,3,3,3,5,2,5,1,5,2,5,1,5,5,5,1,4,1,5,1,5,5,5,5,True
13,53,1,2,1,5,US,3,1,5,3,4,3,3,4,3,3,2,4,3,2,2,2,1,2,2,2,1,3,2,4,1,4,2,5,1,4,4,3,4,1,5,1,4,3,2,3,2,2,4,2,5,2,4,1,5,5,True
